STATE_NAME,COUNTY_NAME,COMBO_CODE,ADJPERCENT
MICHIGAN,Wayne County,26163,33.6
TEXAS,Dallas County,48113,27.9
CALIFORNIA,San Bernardino County,06071,28.3
NEW YORK,Kings County,36047,24.2
NEW YORK,Queens County,36081,23.5
ILLINOIS,Cook County,17031,24.9
TEXAS,Harris County,48201,26.3
ARIZONA,Maricopa County,04013,23
CALIFORNIA,Riverside County,06065,26.2
NEVADA,Clark County,32003,25.7
FLORIDA,Miami-Dade County,12086,22.3
CALIFORNIA,Orange County,06059,18.6
CALIFORNIA,San Diego County,06073,21.6
NEW YORK,Bronx County,36005,28.3
NEW YORK,Monroe County,36055,28.2
NEW YORK,Onondaga County,36067,28.7
PENNSYLVANIA,Philadelphia County,42101,30.1
PENNSYLVANIA,Berks County,42011,28.8
PENNSYLVANIA,York County,42133,30.7
PENNSYLVANIA,Lancaster County,42071,28.3
PENNSYLVANIA,Luzerne County,42079,28
ILLINOIS,Will County,17197,28.5
INDIANA,Allen County,18003,29.7
INDIANA,Lake County,18089,32.8
INDIANA,Marion County,18097,29.8
KANSAS,Sedgwick County,20173,28.9
MICHIGAN,Genesee County,26049,34.9
MICHIGAN,Kent County,26081,28.9
MICHIGAN,Macomb County,26099,29.9
MISSOURI,St. Charles County,29183,28.8
MISSOURI,St. Louis County,29189,28.4
MISSOURI,St. Louis city,29510,32.9
MISSOURI,Jackson County,29095,31
OHIO,Montgomery County,39113,29.9
OHIO,Stark County,39151,30.4
OHIO,Summit County,39153,27.6
OHIO,Butler County,39017,30.2
OHIO,Cuyahoga County,39035,28
OHIO,Franklin County,39049,30.5
OHIO,Lorain County,39093,30.6
OHIO,Lucas County,39095,30.9
WISCONSIN,Milwaukee County,55079,30
ALABAMA,Jefferson County,01073,31.2
ALABAMA,Madison County,01089,30.5
ALABAMA,Mobile County,01097,30.1
ARKANSAS,Pulaski County,05119,28
FLORIDA,Polk County,12105,30.2
KENTUCKY,Jefferson County,21111,31.5
LOUISIANA,East Baton Rouge Parish,22033,29.4
LOUISIANA,Jefferson Parish,22051,30
LOUISIANA,Orleans Parish,22071,28.9
MARYLAND,Prince George's County,24033,32
MARYLAND,Baltimore city,24510,31.4
NORTH CAROLINA,Cumberland County,37051,32.1
OKLAHOMA,Oklahoma County,40109,28.6
SOUTH CAROLINA,Richland County,45079,29.7
TENNESSEE,Shelby County,47157,33.4
TENNESSEE,Davidson County,47037,30
TENNESSEE,Hamilton County,47065,29.3
TENNESSEE,Knox County,47093,28.5
TEXAS,Denton County,48121,27.9
TEXAS,Hidalgo County,48215,28.8
ARIZONA,Pinal County,04021,29.1
CALIFORNIA,Tulare County,06107,31.4
CALIFORNIA,Fresno County,06019,28.3
CALIFORNIA,Kern County,06029,28.9
CALIFORNIA,San Joaquin County,06077,30.1
CALIFORNIA,Solano County,06095,27.6
CALIFORNIA,Stanislaus County,06099,30.1
WASHINGTON,Clark County,53011,28.5
WASHINGTON,Pierce County,53053,29.5
WASHINGTON,Snohomish County,53061,27.8
CONNECTICUT,New Haven County,09009,25.2
MASSACHUSETTS,Hampden County,25013,27.4
MASSACHUSETTS,Worcester County,25027,24.1
MASSACHUSETTS,Bristol County,25005,27.3
MASSACHUSETTS,Essex County,25009,23
NEW HAMPSHIRE,Hillsborough County,33011,26
NEW JERSEY,Essex County,34013,25.8
NEW JERSEY,Hudson County,34017,24.1
NEW JERSEY,Middlesex County,34023,23.5
NEW JERSEY,Ocean County,34029,25.5
NEW JERSEY,Passaic County,34031,23.4
NEW JERSEY,Burlington County,34005,25.9
NEW JERSEY,Camden County,34007,26.5
NEW YORK,Suffolk County,36103,24.2
NEW YORK,Erie County,36029,26.5
NEW YORK,Richmond County,36085,24.6
PENNSYLVANIA,Westmoreland County,42129,25.8
PENNSYLVANIA,Bucks County,42017,24
PENNSYLVANIA,Allegheny County,42003,26.8
PENNSYLVANIA,Delaware County,42045,26.8
PENNSYLVANIA,Montgomery County,42091,24.2
RHODE ISLAND,Providence County,44007,25
ILLINOIS,DuPage County,17043,24.1
ILLINOIS,Kane County,17089,27.6
ILLINOIS,Lake County,17097,24.4
IOWA,Polk County,19153,27
KANSAS,Johnson County,20091,23.1
MICHIGAN,Oakland County,26125,25.9
MINNESOTA,Ramsey County,27123,25.4
MINNESOTA,Dakota County,27037,26.3
NEBRASKA,Douglas County,31055,27.4
OHIO,Hamilton County,39061,26.6
WISCONSIN,Waukesha County,55133,26.6
WISCONSIN,Dane County,55025,25
DELAWARE,New Castle County,10003,26.8
FLORIDA,Pasco County,12101,24.4
FLORIDA,Pinellas County,12103,25.9
FLORIDA,Seminole County,12117,23.8
FLORIDA,Volusia County,12127,24.6
FLORIDA,Duval County,12031,26.9
FLORIDA,Hillsborough County,12057,25.8
FLORIDA,Lee County,12071,25.6
FLORIDA,Brevard County,12009,25.2
FLORIDA,Orange County,12095,23.5
GEORGIA,Fulton County,13121,23.2
GEORGIA,Gwinnett County,13135,25.8
GEORGIA,Cobb County,13067,23.8
GEORGIA,DeKalb County,13089,26.3
MARYLAND,Anne Arundel County,24003,26
MARYLAND,Baltimore County,24005,26.8
NORTH CAROLINA,Mecklenburg County,37119,25.2
NORTH CAROLINA,Wake County,37183,26.2
NORTH CAROLINA,Guilford County,37081,27.7
OKLAHOMA,Tulsa County,40143,27.2
SOUTH CAROLINA,Greenville County,45045,25.5
TEXAS,El Paso County,48141,23.6
TEXAS,Fort Bend County,48157,24.9
TEXAS,Bexar County,48029,25.5
TEXAS,Montgomery County,48339,24.7
TEXAS,Tarrant County,48439,26.5
TEXAS,Williamson County,48491,24.8
TEXAS,Collin County,48085,23.1
VIRGINIA,Prince William County,51153,27.4
VIRGINIA,Virginia Beach city,51810,24.8
ARIZONA,Pima County,04019,23.8
CALIFORNIA,Ventura County,06111,23.2
CALIFORNIA,Contra Costa County,06013,24.2
CALIFORNIA,Sacramento County,06067,26.6
COLORADO,Adams County,08001,24
OREGON,Lane County,41039,25.8
OREGON,Clackamas County,41005,25
OREGON,Washington County,41067,23.7
UTAH,Salt Lake County,49035,23.5
UTAH,Utah County,49049,25
WASHINGTON,Spokane County,53063,27.1
CONNECTICUT,Fairfield County,09001,18.1
CONNECTICUT,Hartford County,09003,22.4
MASSACHUSETTS,Middlesex County,25017,21.9
MASSACHUSETTS,Norfolk County,25021,19.2
MASSACHUSETTS,Plymouth County,25023,21.8
MASSACHUSETTS,Suffolk County,25025,21.6
NEW JERSEY,Monmouth County,34025,21.1
NEW JERSEY,Morris County,34027,20
NEW JERSEY,Bergen County,34003,20.4
NEW JERSEY,Union County,34039,21.9
NEW YORK,Westchester County,36119,18.7
NEW YORK,Nassau County,36059,20.7
NEW YORK,New York County,36061,16.1
PENNSYLVANIA,Chester County,42029,22.1
MINNESOTA,Hennepin County,27053,22.2
DISTRICT OF COLUMBIA,District of Columbia,11001,21.4
FLORIDA,Broward County,12011,22
FLORIDA,Palm Beach County,12099,20.7
MARYLAND,Montgomery County,24031,18.8
TEXAS,Travis County,48453,22.7
VIRGINIA,Fairfax County,51059,22.2
CALIFORNIA,Alameda County,06001,19.2
CALIFORNIA,San Francisco County,06075,16.2
CALIFORNIA,San Mateo County,06081,19.1
CALIFORNIA,Santa Clara County,06085,19.9
CALIFORNIA,Sonoma County,06097,19.7
COLORADO,Denver County,08031,17
COLORADO,El Paso County,08041,19.2
COLORADO,Arapahoe County,08005,18.4
COLORADO,Jefferson County,08059,17.4
HAWAII,Honolulu County,15003,21
NEW MEXICO,Bernalillo County,35001,20
OREGON,Multnomah County,41051,22.6
WASHINGTON,King County,53033,21.4
CONNECTICUT,Windham County,09015,28.2
MAINE,Androscoggin County,23001,30.5
MAINE,Kennebec County,23011,28.8
MAINE,Penobscot County,23019,28.3
MAINE,Piscataquis County,23021,31.1
MAINE,Somerset County,23025,34.8
MAINE,Washington County,23029,28.7
MAINE,Aroostook County,23003,28.7
NEW HAMPSHIRE,Cheshire County,33005,28.1
NEW HAMPSHIRE,Coos County,33007,29.1
NEW JERSEY,Cumberland County,34011,29.6
NEW JERSEY,Salem County,34033,29.3
NEW YORK,Steuben County,36101,28.8
NEW YORK,Tioga County,36107,28.1
NEW YORK,Warren County,36113,28.3
NEW YORK,Wayne County,36117,28
NEW YORK,Chautauqua County,36013,29.9
NEW YORK,Genesee County,36037,27.9
NEW YORK,Herkimer County,36043,28.4
NEW YORK,Livingston County,36051,28.4
NEW YORK,Montgomery County,36057,28.8
NEW YORK,Ontario County,36069,28.1
NEW YORK,Broome County,36007,27.9
NEW YORK,Orleans County,36073,28.5
NEW YORK,Oswego County,36075,29.7
NEW YORK,St. Lawrence County,36089,29.5
NEW YORK,Cattaraugus County,36009,28.8
NEW YORK,Seneca County,36099,29.7
PENNSYLVANIA,Pike County,42103,31.1
PENNSYLVANIA,Potter County,42105,29.8
PENNSYLVANIA,Schuylkill County,42107,31.3
PENNSYLVANIA,Snyder County,42109,30.5
PENNSYLVANIA,Somerset County,42111,31.8
PENNSYLVANIA,Sullivan County,42113,30.6
PENNSYLVANIA,Tioga County,42117,31
PENNSYLVANIA,Union County,42119,29.4
PENNSYLVANIA,Venango County,42121,30.2
PENNSYLVANIA,Warren County,42123,29.2
PENNSYLVANIA,Washington County,42125,32.4
PENNSYLVANIA,Blair County,42013,33.6
PENNSYLVANIA,Wyoming County,42131,30.7
PENNSYLVANIA,Bradford County,42015,28.8
PENNSYLVANIA,Cambria County,42021,33.2
PENNSYLVANIA,Cameron County,42023,28.4
PENNSYLVANIA,Carbon County,42025,28.8
PENNSYLVANIA,Clarion County,42031,30.5
PENNSYLVANIA,Clearfield County,42033,30.8
PENNSYLVANIA,Columbia County,42037,31.7
PENNSYLVANIA,Crawford County,42039,29.1
PENNSYLVANIA,Dauphin County,42043,31.2
PENNSYLVANIA,Elk County,42047,28.4
PENNSYLVANIA,Erie County,42049,29.3
PENNSYLVANIA,Armstrong County,42005,29.8
PENNSYLVANIA,Fayette County,42051,33.3
PENNSYLVANIA,Forest County,42053,29.1
PENNSYLVANIA,Franklin County,42055,29.3
PENNSYLVANIA,Fulton County,42057,28.8
PENNSYLVANIA,Greene County,42059,28.4
PENNSYLVANIA,Huntingdon County,42061,27.9
PENNSYLVANIA,Indiana County,42063,27.9
PENNSYLVANIA,Juniata County,42067,30.5
PENNSYLVANIA,Beaver County,42007,29.9
PENNSYLVANIA,Lebanon County,42075,28.7
PENNSYLVANIA,McKean County,42083,29.6
PENNSYLVANIA,Mercer County,42085,29.2
PENNSYLVANIA,Mifflin County,42087,30.5
PENNSYLVANIA,Montour County,42093,28.1
PENNSYLVANIA,Northampton County,42095,28.5
PENNSYLVANIA,Northumberland County,42097,28.1
PENNSYLVANIA,Perry County,42099,29.8
ILLINOIS,Logan County,17107,28.8
ILLINOIS,Macon County,17115,29.5
ILLINOIS,Macoupin County,17117,28.5
ILLINOIS,Madison County,17119,28.1
ILLINOIS,Mason County,17125,28.5
ILLINOIS,Pulaski County,17153,28
ILLINOIS,Richland County,17159,28.6
ILLINOIS,St. Clair County,17163,28.2
ILLINOIS,Sangamon County,17167,28.3
ILLINOIS,Stephenson County,17177,28.6
ILLINOIS,Williamson County,17199,28.1
ILLINOIS,Alexander County,17003,28.3
ILLINOIS,Douglas County,17041,28.3
ILLINOIS,Greene County,17061,28.1
ILLINOIS,Grundy County,17063,28.2
ILLINOIS,Brown County,17009,28.2
ILLINOIS,Kankakee County,17091,28.1
ILLINOIS,Knox County,17095,28.3
INDIANA,Adams County,18001,29.3
INDIANA,Martin County,18101,29.5
INDIANA,Miami County,18103,29.2
INDIANA,Montgomery County,18107,29.5
INDIANA,Morgan County,18109,28.6
INDIANA,Boone County,18011,30
INDIANA,Newton County,18111,28.7
INDIANA,Noble County,18113,29
INDIANA,Ohio County,18115,28.7
INDIANA,Orange County,18117,29.8
INDIANA,Owen County,18119,29.3
INDIANA,Parke County,18121,29.4
INDIANA,Perry County,18123,30.3
INDIANA,Pike County,18125,29.5
INDIANA,Porter County,18127,30.1
INDIANA,Posey County,18129,28.4
INDIANA,Brown County,18013,27.7
INDIANA,Pulaski County,18131,29.7
INDIANA,Putnam County,18133,29.2
INDIANA,Randolph County,18135,30.5
INDIANA,Ripley County,18137,28.6
INDIANA,Rush County,18139,29.7
INDIANA,St. Joseph County,18141,29.2
INDIANA,Scott County,18143,28.3
INDIANA,Shelby County,18145,30.7
INDIANA,Spencer County,18147,28.4
